time,request,status,bytes
2015-05-17 10:05:03,GET /presentations/logstash-monitorama-2013/images/kibana-search.png HTTP/1.1,200,203023
2015-05-17 10:05:43,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard3.png HTTP/1.1,200,171717
2015-05-17 10:05:47,GET /presentations/logstash-monitorama-2013/plugin/highlight/highlight.js HTTP/1.1,200,26185
2015-05-17 10:05:12,GET /presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js HTTP/1.1,200,7697
2015-05-17 10:05:07,GET /presentations/logstash-monitorama-2013/plugin/notes/notes.js HTTP/1.1,200,2892
2015-05-17 10:05:34,GET /presentations/logstash-monitorama-2013/images/sad-medic.png HTTP/1.1,200,430406
2015-05-17 10:05:57,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf HTTP/1.1,200,38720
2015-05-17 10:05:50,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf HTTP/1.1,200,41820
2015-05-17 10:05:24,GET /presentations/logstash-monitorama-2013/images/frontend-response-codes.png HTTP/1.1,200,52878
2015-05-17 10:05:50,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard.png HTTP/1.1,200,321631
2015-05-17 10:05:46,GET /presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg HTTP/1.1,200,2126
2015-05-17 10:05:11,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard2.png HTTP/1.1,200,394967
2015-05-17 10:05:19,GET /presentations/logstash-monitorama-2013/images/apache-icon.gif HTTP/1.1,200,8095
2015-05-17 10:05:33,GET /presentations/logstash-monitorama-2013/images/nagios-sms5.png HTTP/1.1,200,78075
2015-05-17 10:05:00,GET /presentations/logstash-monitorama-2013/images/redis.png HTTP/1.1,200,25230
2015-05-17 10:05:25,GET /presentations/logstash-monitorama-2013/images/elasticsearch.png HTTP/1.1,200,8026
2015-05-17 10:05:59,GET /presentations/logstash-monitorama-2013/images/logstashbook.png HTTP/1.1,200,54662
2015-05-17 10:05:30,GET /presentations/logstash-monitorama-2013/images/github-contributions.png HTTP/1.1,200,34245
2015-05-17 10:05:53,GET /presentations/logstash-monitorama-2013/css/print/paper.css HTTP/1.1,200,4254
2015-05-17 10:05:24,GET /presentations/logstash-monitorama-2013/images/1983_delorean_dmc-12-pic-38289.jpeg HTTP/1.1,200,220562
2015-05-17 10:05:54,GET /presentations/logstash-monitorama-2013/images/simple-inputs-filters-outputs.jpg HTTP/1.1,200,1168622
2015-05-17 10:05:33,GET /presentations/logstash-monitorama-2013/images/tiered-outputs-to-inputs.jpg HTTP/1.1,200,1079983
2015-05-17 10:05:56,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 10:05:40,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 10:05:14,GET /articles/dynamic-dns-with-dhcp/ HTTP/1.1,200,18848
2015-05-17 10:05:04,GET /reset.css HTTP/1.1,200,1015
2015-05-17 10:05:45,GET /style2.css HTTP/1.1,200,4877
2015-05-17 10:05:14,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 10:05:17,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 10:05:21,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 10:05:40,GET /blog/tags/ipv6 HTTP/1.1,200,12251
2015-05-17 10:05:10,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 10:05:37,GET / HTTP/1.1,200,37932
2015-05-17 10:05:35,GET /projects/xdotool/ HTTP/1.1,200,12292
2015-05-17 10:05:03,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 10:05:06,GET /reset.css HTTP/1.1,200,1015
2015-05-17 10:05:03,GET /style2.css HTTP/1.1,200,4877
2015-05-17 10:05:41,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 10:05:32,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 10:05:46,GET /blog/tags/release HTTP/1.1,200,40693
2015-05-17 10:05:08,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 10:05:46,GET /images/googledotcom.png HTTP/1.1,200,65748
2015-05-17 10:05:58,GET /blog/tags/examples HTTP/1.0,200,9208
2015-05-17 10:05:36,GET /reset.css HTTP/1.1,200,1015
2015-05-17 10:05:38,GET /blog/tags/web HTTP/1.1,200,44019
2015-05-17 10:05:11,GET /style2.css HTTP/1.1,200,4877
2015-05-17 10:05:37,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 10:05:00,GET /reset.css HTTP/1.1,200,1015
2015-05-17 10:05:16,GET /blog/tags/munin HTTP/1.1,200,9746
2015-05-17 10:05:33,GET /blog/tags/firefox?flav=rss20 HTTP/1.1,200,16021
2015-05-17 10:05:17,GET /blog/geekery/eventdb-ideas.html HTTP/1.1,200,11418
2015-05-17 10:05:48,GET / HTTP/1.0,200,37932
2015-05-17 10:05:18,GET /blog/geekery/installing-windows-8-consumer-preview.html HTTP/1.0,200,8948
2015-05-17 10:05:28,GET /blog/tags/projects HTTP/1.0,200,28370
2015-05-17 10:05:44,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 10:05:47,GET /blog/geekery/soekris-gpio.html HTTP/1.0,200,9587
2015-05-17 10:05:22,GET /blog/geekery/xvfb-firefox.html HTTP/1.1,200,10975
2015-05-17 10:05:34,GET /reset.css HTTP/1.1,200,1015
2015-05-17 10:05:37,GET /style2.css HTTP/1.1,200,4877
2015-05-17 10:05:54,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 10:05:31,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 10:05:32,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 10:05:22,GET /doc/index.html?org/elasticsearch/action/search/SearchResponse.html HTTP/1.1,404,294
2015-05-17 10:05:40,GET /blog/tags/defcon HTTP/1.0,200,24142
2015-05-17 10:05:51,GET /blog/tags/regex HTTP/1.0,200,14888
2015-05-17 10:05:59,GET /presentations/puppet-at-loggly/puppet-at-loggly.pdf.html HTTP/1.1,200,24747
2015-05-17 10:05:30,GET /blog/tags/firefox?flav=rss20 HTTP/1.1,200,16021
2015-05-17 10:05:15,GET /test.xml HTTP/1.1,200,1370
2015-05-17 10:05:13,GET /blog/geekery/ssl-latency.html HTTP/1.1,200,17147
2015-05-17 10:05:44,GET /reset.css HTTP/1.1,200,1015
2015-05-17 10:05:26,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 10:05:39,GET /style2.css HTTP/1.1,200,4877
2015-05-17 10:05:52,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 10:05:21,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 11:05:17,GET /blog/geekery/vmware-cpu-performance.html HTTP/1.1,200,12908
2015-05-17 11:05:42,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 11:05:11,GET /robots.txt HTTP/1.1,200,-
2015-05-17 11:05:46,GET /robots.txt HTTP/1.1,200,-
2015-05-17 11:05:45,GET /projects/fex/ HTTP/1.1,200,14352
2015-05-17 11:05:59,GET /?flav=rss20 HTTP/1.1,200,29941
2015-05-17 11:05:05,GET /projects/xdotool/ HTTP/1.1,200,12292
2015-05-17 11:05:15,GET /reset.css HTTP/1.1,200,1015
2015-05-17 11:05:22,GET /style2.css HTTP/1.1,200,4877
2015-05-17 11:05:11,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 11:05:28,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 11:05:17,GET /projects/xdotool/xdotool.xhtml HTTP/1.1,304,-
2015-05-17 11:05:26,GET /?flav=rss20 HTTP/1.1,200,29941
2015-05-17 11:05:37,GET /blog/geekery/c-vs-python-bdb.html HTTP/1.1,200,11388
2015-05-17 11:05:09,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard3.png HTTP/1.1,200,171717
2015-05-17 11:05:39,GET /blog/productivity/better-zsh-xterm-title-fix.html HTTP/1.1,200,10185
2015-05-17 11:05:11,GET /blog/geekery/xvfb-firefox.html HTTP/1.1,200,10975
2015-05-17 11:05:00,GET /blog/geekery/puppet-facts-into-mcollective.html HTTP/1.1,200,9872
2015-05-17 11:05:10,GET /blog/geekery/disabling-battery-in-ubuntu-vms.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29 HTTP/1.1,200,9316
2015-05-17 11:05:48,GET /blog/geekery/solving-good-or-bad-problems.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29 HTTP/1.1,200,10756
2015-05-17 11:05:28,GET /blog/geekery/jquery-interface-puffer.html%20target= HTTP/1.1,200,202
2015-05-17 11:05:05,GET /blog/geekery/ec2-reserved-vs-ondemand.html HTTP/1.1,200,11834
2015-05-17 11:05:31,GET /blog/web/firefox-scrolling-fix.html HTTP/1.1,200,8956
2015-05-17 11:05:36,GET /projects/xdotool/ HTTP/1.1,200,12292
2015-05-17 11:05:25,GET /reset.css HTTP/1.1,200,1015
2015-05-17 11:05:19,GET /style2.css HTTP/1.1,200,4877
2015-05-17 11:05:03,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 11:05:28,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 11:05:07,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 11:05:58,GET /blog/tags/bdb HTTP/1.1,200,23099
2015-05-17 11:05:31,GET /?flav=atom HTTP/1.1,200,32352
2015-05-17 11:05:14,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 11:05:02,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 11:05:26,GET /blog/rants/fedora-yum.html HTTP/1.1,200,8328
2015-05-17 11:05:32,GET /blog/tags/grok HTTP/1.1,200,30346
2015-05-17 11:05:12,GET /blog/tags/is%20it%20done%20yet HTTP/1.1,200,10544
2015-05-17 11:05:07,GET /blog/tags/statistics HTTP/1.1,200,29706
2015-05-17 11:05:50,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 11:05:05,GET /blog/tags/subversion HTTP/1.1,200,12557
2015-05-17 11:05:52,GET /blog/web/194.html HTTP/1.1,200,8251
